DATE_CREATED,SHIFT_NAME,PART_SERIAL_NUMBER,MATERIAL_R3,MACHINE_ID,PRODUCTION_ORDER_ID,SEQUENCE,DESCRIPTION,CODE,MATERIAL_COST
12/6/2025,night,174056704773429,01-740567-04-00,2513,20963320,80,Final Test Radar NOK,635,15.667
2/12/2026,early,174137401879116,01-741374-01-10,2483,20963623,80,,129,15.699
11/13/2025,late,174137401601903,01-741374-01-20,2512,20963846,70,Final Test Radar NOK,635,15.127
4/26/2026,night,174056804994911,01-740568-04-00,2512,20963964,60,Final Test Radar NOK,635,11.672
1/30/2026,early,174137401607690,01-741374-01-10,1792,20963623,220,,,15.701
3/4/2026,late,174056804859063,01-740568-04-00,1812,20963578,250,Label position NOK,564,11.641
12/6/2025,early ,174056904105582,01-740569-04-00,2512,20963223,120,AOI NOK,275,15.675
2/25/2026,late,174056704943272,01-740567-04-00,1802,20963119,240,,,15.664
4/27/2026,night,174056904502537,01-740569-04-00,1812,20963050,190,Final Test Radar NOK,635,15.614
1/14/2026,late,100792205526691,01-007922-05-10,1795,20963712,80,Assemble/close housing failure,46,20.496
11/30/2025,early,174137501756359,01-741375-01-00,1804,20963301,90,Final Test Radar NOK,635,15.901
3/5/2026,night ,174057004135466,01-740570-04-00,1795,20963537,30,Electrical fault,25,17.231
3/1/2026,early,174282601316612,01-742826-01-10,2010,20963109,260,Final Test Radar NOK,635,0.947
3/12/2026,late,174282601934735,01-742826-01-10,2512,20963364,190,Solder paste inspection NOK,680,0.991
12/2/2025,early,100814205126135,01-008142-05-10,2026,20963240,240,Barcode/datamatrix code quality NOK,488,20.535
3/1/2026,EARLY,174056904176819,01-740569-04-00,1807,20963774,250,Final Test Radar NOK,635,15.623
3/11/2026,late,174056904417180,01-740569-04-00,1792,20963578,50,Final Test Radar NOK,635,15.646
1/13/2026,late,174137501278738,01-741375-01-00,1792,20963301,300,Final Test Radar NOK,635,15.913
1/2/2026,late,174137401475876,01-741374-01-20,2010,20963797,220,Barcode/datamatrix code quality NOK,488,15.074
2/25/2026,early,174137501820169,01-741375-01-00,1804,20963243,40,Heat stacking NOK,621,15.868
11/13/2025,night,100814205260596,01-008142-05-10,2010,20963797,220,MES Error,640,20.514
4/27/2026,early,100814205818983,01-008142-05-10,1806,20963253,300,MES Error,640,
4/7/2026,late,174137401172769,01-741374-01-10,2513,20963452,80,Solder paste inspection NOK,680,15.649
11/22/2025,night,174057004269174,01-740570-04-00,1804,20963047,90,Barcode/datamatrix code quality NOK,488,17.245
11/6/2025,night,100792205713566,01-007922-05-10,2026,20963304,70,Automatical optical check NOK,275,20.459
1/22/2026,late,174056804814613,01-740568-04-00,2483,20963964,240,Final Test Radar NOK,635,11.664
