DATE_CREATED,SHIFT_NAME,PART_SERIAL_NUMBER,MATERIAL_R3,MACHINE_ID,PRODUCTION_ORDER_ID,SEQUENCE,DESCRIPTION,CODE,MATERIAL_COST
2025-11-01,early,100792205886786,01-007922-05-10,2483,20963712,90,Machine system error test chamber,642,20.538
2025-11-01,early,174056904328155,01-740569-04-00,1807,20963050,180,Miscellaneous Defects,129,15.708
2025-11-01,early,174056904533232,01-740569-04-00,2513,20963674,190,Machine system error Label Verification,644,15.618
2025-11-01,early,174057004932333,01-740570-04-00,1804,20963100,20,Automatical optical check NOK,275,17.262
2025-11-01,early,174137401768061,01-741374-01-20,1812,20963887,70,MES Error,640,15.105
2025-11-01,early,174137501544012,01-741375-01-00,1792,20963243,260,Machine system error test chamber,642,15.866
2025-11-01,early,174282401167164,01-742824-01-10,2512,20963304,20,Machine system error Label Verification,644,15.179
2025-11-01,late,100814205528909,01-008142-05-10,1802,20963240,250,MES Error,640,20.497
2025-11-01,late,174056804619103,01-740568-04-00,2512,20963364,260,Machine system error Label Verification,644,11.682
2025-11-01,late,174137401474236,01-741374-01-10,2512,20963685,260,Machine Error,599,15.613
2025-11-01,late,174137401552200,01-741374-01-20,1792,20963848,230,Machine system error test chamber,642,15.092
2025-11-01,late,174282401922157,01-742824-01-10,2512,20963248,110,Milling NOK,638,15.220
2025-11-01,late,174282601946475,01-742826-01-10,1802,20963109,40,Final Test Radar NOK,635,0.939
2025-11-01,night,174137401682636,01-741374-01-20,1795,20963846,110,Automatical optical check NOK,275,15.135
2025-11-01,night,174137501312146,01-741375-01-00,1804,20963243,110,Process error,596,15.907
2025-11-01,night,174282501497455,01-742825-01-00,1806,20963320,20,Final Test Radar NOK,635,2.588
2025-11-02,early,174137401376049,01-741374-01-10,1804,20963638,260,Machine system error Label Verification,644,15.707
2025-11-02,early,174137501393983,01-741375-01-00,1806,20963243,360,Heat stacking NOK,621,15.877
2025-11-02,early,174282301895262,01-742823-01-00,1812,20963240,180,Press fit NOK,620,15.389
2025-11-02,early,174282401362773,01-742824-01-10,2483,20963611,40,MES Error,640,15.238
2025-11-02,late,174056804151564,01-740568-04-00,1806,20963114,90,MES Error,640,11.685
2025-11-02,late,174137401603534,01-741374-01-20,1807,20963846,220,Automatical optical check NOK,275,15.058
2025-11-02,late,174137501890075,01-741375-01-00,2026,20963611,220,Machine system error Label Verification,644,15.895
2025-11-02,night,100814205295200,01-008142-05-10,2026,20963797,180,Electrical fault,25,20.450
2025-11-02,night,100814205821184,01-008142-05-10,1807,20963797,50,Automatical optical check NOK,275,20.492
2025-11-02,night,174056704811249,01-740567-04-00,1804,20963452,30,Final Test Radar NOK,635,15.661
2025-11-02,night,174057004971060,01-740570-04-00,1812,20963047,230,Automatical optical check NOK,275,17.252
2025-11-02,night,174137501682783,01-741375-01-00,2483,20963301,250,Final Test Radar NOK,635,15.844
2025-11-03,early,100792205420476,01-007922-05-10,1804,20963685,70,Connection Error,602,20.513
2025-11-03,early,100814205387636,01-008142-05-10,1794,20963240,30,Machine system error Label Verification,644,20.469
2025-11-03,early,174056804223591,01-740568-04-00,1814,20963114,90,Automatical optical check NOK,275,11.664
2025-11-03,early,174137401180659,01-741374-01-10,1802,20963638,190,Machine system error Label Verification,644,15.665
2025-11-03,early,174137401544487,01-741374-01-10,1808,20963638,40,Solder paste inspection NOK,680,15.693
2025-11-03,early,174137401788505,01-741374-01-20,1795,20963846,100,Final Test Radar NOK,635,15.122
2025-11-03,early,174282301460589,01-742823-01-00,1813,20963245,240,Machine system error test chamber,642,15.381
2025-11-03,early,174282301778657,01-742823-01-00,1812,20963245,240,Final Test Radar NOK,635,15.384
2025-11-03,early,174282401775699,01-742824-01-10,2026,20963741,190,Solder paste inspection NOK,680,15.247
2025-11-03,late,174056904143829,01-740569-04-00,2512,20963569,60,Final Test Radar NOK,635,15.617
2025-11-03,late,174282401858712,01-742824-01-10,1806,20963304,220,Automatical optical check NOK,275,15.163
2025-11-03,night,100792205145864,01-007922-05-10,1804,20963045,90,Automatical optical check NOK,275,NULL
2025-11-03,night,174056904510438,01-740569-04-00,1794,20963050,240,Final Test Radar NOK,635,15.627
2025-11-03,night,174056904777051,01-740569-04-00,1807,20963050,70,Final Test Radar NOK,635,15.620
2025-11-03,night,174056904777051,01-740569-04-00,1813,20963050,70,Final Test Radar NOK,635,15.620
2025-11-03,night,174056904898134,01-740569-04-00,1804,20963741,190,Final Test Radar NOK,635,15.633
2025-11-03,night,174282301546375,01-742823-01-00,1804,20963114,180,Final Test Radar NOK,635,15.476
2025-11-04,early,174137401941390,01-741374-01-20,2026,20963452,40,Final Test Radar NOK,635,15.141
2025-11-04,early,174282301857079,01-742823-01-00,1808,20963245,250,MES Error,640,15.445
2025-11-04,late,100792205184687,01-007922-05-10,1794,20963712,250,Automatical optical check NOK,275,20.509
2025-11-04,late,100792205934755,01-007922-05-10,1794,20963685,300,MES Error,640,20.505
2025-11-04,late,174056904923652,01-740569-04-00,1806,20963569,190,Milling NOK,638,15.624
2025-11-04,late,174137401366229,01-741374-01-20,2513,20963848,360,Automatical optical check NOK,275,NULL
2025-11-04,late,174282501189913,01-742825-01-00,1807,20963066,230,Solder paste inspection NOK,680,2.609
2025-11-04,night,100792205707275,01-007922-05-10,2483,20963685,110,Process error,596,20.460
2025-11-04,night,100792205907394,01-007922-05-10,1795,20963623,250,Label position NOK,564,20.532
2025-11-04,night,174056804239952,01-740568-04-00,1792,20963114,90,Automatical optical check NOK,275,11.664
2025-11-04,night,174137401123316,01-741374-01-10,1814,20963964,190,Machine system error Label Verification,644,15.649
2025-11-05,early,174056704125317,01-740567-04-00,1814,20963887,50,Final Test Radar NOK,635,15.702
2025-11-05,early,174056704567636,01-740567-04-00,2010,20963653,40,Final Test Radar NOK,635,15.616
2025-11-05,early,174056704818534,01-740567-04-00,2513,20963119,190,Automatical optical check NOK,275,15.678
2025-11-05,early,174056904492367,01-740569-04-00,2026,20963674,250,Final Test Radar NOK,635,15.617
2025-11-05,early,174137401568802,01-741374-01-10,2010,20963638,240,Machine system error Label Verification,644,15.621
2025-11-05,early,174282301969885,01-742823-01-00,1806,20963245,120,Dispensing sealant NOK,633,15.430
2025-11-05,late,174137401859587,01-741374-01-10,1804,20963638,100,Miscellaneous Defects,129,15.659
